Batch Size;Learning Rate;Embedding Dropout;Output Dropout;Test PPL
64;3,7;0,15;0,35;96,29215398
64;3,4;0,15;0,35;96,28737995
64;3,9;0,15;0,35;95,64921448
64;3,8;0,15;0,35;95,57111299
64;3,6;0,15;0,35;95,12846674
64;3,5;0,15;0,35;95,05277156
64;3,9;0,15;0,4;94,61275744
64;3,4;0,15;0,4;94,60219885
64;3,5;0,15;0,4;94,36954071
64;3,6;0,15;0,4;94,23679504
64;3,8;0,15;0,4;94,15339438
64;4;0,15;0,35;93,8699506
64;4;0,15;0,4;93,42989751
64;3,7;0,15;0,4;93,39778765
32;3,9;0,15;0,35;93,12433459
32;3,7;0,15;0,35;93,06127422
32;3,4;0,15;0,35;92,89152612
32;3,8;0,15;0,35;92,88775205
32;3,6;0,15;0,35;92,87216907
32;4;0,15;0,35;92,82590134
32;3,6;0,15;0,4;92,66288673
32;3,5;0,15;0,35;92,5889799
32;3,4;0,15;0,4;92,35716815
32;3,5;0,15;0,4;92,33882541
32;3,9;0,15;0,4;92,17466406
32;3,8;0,15;0,4;91,6195688
32;4;0,15;0,4;91,55617036
32;3,7;0,15;0,4;91,48645127
