Epoch,F1 dev,Acc dev,Loss Train,Loss Dev,F1 test,Acc test
5,0.8191358024691358,0.9357429718875502,0.6852664994341987,0.6621836349368095,0.941,0.948
10,0.9007770472205618,0.9658634538152611,0.21353521006447929,0.2900712136179209,0.941,0.948
15,0.95,0.9779116465863453,0.08810624655868327,0.18930271128192544,0.941,0.948
20,0.9625890736342042,0.9799196787148594,0.04363095007304634,0.15548722934909165,0.941,0.948
25,0.9694271297120808,0.9799196787148594,0.024276583029755525,0.14315240818541497,0.941,0.948
30,0.9718184514980719,0.9779116465863453,0.01435517869623644,0.138586473534815,0.941,0.948
35,0.9765509053131493,0.9799196787148594,0.009142284348074878,0.13424252782715484,0.941,0.948
40,0.9768408551068885,0.9839357429718876,0.006179701470370803,0.13150644837878644,0.941,0.948
45,0.9756676557863502,0.9799196787148594,0.004400610617761101,0.13311107459594496,0.941,0.948
50,0.975971521803619,0.9819277108433735,0.00321198121611295,0.13339418670511805,0.941,0.948
55,0.97628927089508,0.9839357429718876,0.002431030127419425,0.13512865810480434,0.941,0.948
