Epoch,F1 dev,Acc dev,Loss Train,Loss Dev,F1 test,Acc test
5,0.9356655796027274,0.9759036144578314,0.22472510412335395,0.20580213028006256,0.951,0.96
10,0.9691943127962085,0.9839357429718876,0.07663706243038178,0.13192093739053234,0.951,0.96
15,0.9745411486086442,0.9859437751004017,0.03771112619766167,0.10571779334713938,0.951,0.96
20,0.973435655253837,0.9859437751004017,0.02226013441437057,0.1294764619997295,0.951,0.96
25,0.9769639692852923,0.9859437751004017,0.014360968723693596,0.11238147960830247,0.951,0.96
30,0.9796039018622525,0.9879518072289156,0.007883896825036832,0.11119248040722596,0.951,0.96
35,0.9781194559432288,0.9859437751004017,0.0063859386743778095,0.11409964029985531,0.951,0.96
40,0.9796279893711249,0.9859437751004017,0.008527356703000675,0.11012995574947126,0.951,0.96
45,0.9799291617473436,0.9859437751004017,0.012335902002606806,0.11199325381721792,0.951,0.96
50,0.9820005901445854,0.9859437751004017,0.005484680124209262,0.10193064795498685,0.951,0.96
55,0.9823008849557522,0.9879518072289156,0.008225578143693773,0.11962437389365732,0.951,0.96
60,0.9802650957290132,0.9879518072289156,0.005032453699719294,0.11460227896543529,0.951,0.96
65,0.9793510324483775,0.9879518072289156,0.0037134581181037774,0.1369217547929793,0.951,0.96
70,0.9817109144542773,0.9899598393574297,0.002673708191702774,0.13665262705728765,0.951,0.96
